Date : 2025-11-09 10:18:39
Directory : e:\Code\java\account_book_app\accountbook
Total : 233 files,  11120 codes, 1827 comments, 1507 blanks, all 14454 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        219 |     10,906 |      1,812 |      1,465 |     14,183 |
| Markdown        |         11 |        166 |          0 |         36 |        202 |
| XML             |          1 |         40 |          7 |          6 |         53 |
| Java Properties |          2 |          8 |          8 |          0 |         16 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| src\main\java\com\accountbook\proxy\common                                                                                                  |          2 |         46 |         12 |         12 |         70 |
| src\main\java\com\accountbook\proxy\helper                                                                                                  |          7 |        536 |        216 |        118 |        870 |
| src\main\java\com\accountbook\proxy\helper (Files)                                                                                          |          2 |         38 |         14 |          7 |         59 |
| src\main\java\com\accountbook\proxy\helper\factory                                                                                          |          1 |         60 |         37 |         11 |        108 |
| src\main\java\com\accountbook\proxy\helper\impl                                                                                             |          4 |        438 |        165 |        100 |        703 |
| src\main\java\com\accountbook\proxy\request                                                                                                 |         17 |        619 |        260 |        140 |      1,019 |
| src\main\java\com\accountbook\proxy\request (Files)                                                                                         |          1 |          2 |          0 |          0 |          2 |
| src\main\java\com\accountbook\proxy\request\bill                                                                                            |          4 |        202 |         74 |         34 |        310 |
| src\main\java\com\accountbook\proxy\request\budget                                                                                          |          4 |        157 |         75 |         36 |        268 |
| src\main\java\com\accountbook\proxy\request\category                                                                                        |          4 |        114 |         52 |         33 |        199 |
| src\main\java\com\accountbook\proxy\request\specific_type                                                                                   |          4 |        144 |         59 |         37 |        240 |
| src\main\java\com\accountbook\proxy\response                                                                                                |         13 |        439 |        186 |        102 |        727 |
| src\main\java\com\accountbook\proxy\response (Files)                                                                                        |          1 |          2 |          0 |          0 |          2 |
| src\main\java\com\accountbook\proxy\response\bill                                                                                           |          3 |        107 |         44 |         22 |        173 |
| src\main\java\com\accountbook\proxy\response\budget                                                                                         |          3 |        102 |         44 |         21 |        167 |
| src\main\java\com\accountbook\proxy\response\category                                                                                       |          3 |        101 |         48 |         27 |        176 |
| src\main\java\com\accountbook\proxy\response\specific_type                                                                                  |          3 |        127 |         50 |         32 |        209 |
| src\main\resources                                                                                                                          |          1 |          4 |          4 |          0 |          8 |
| src\test                                                                                                                                    |          6 |        659 |        157 |        131 |        947 |
| src\test\java                                                                                                                               |          6 |        659 |        157 |        131 |        947 |
| src\test\java\com                                                                                                                           |          6 |        659 |        157 |        131 |        947 |
| src\test\java\com\accountbook                                                                                                               |          6 |        659 |        157 |        131 |        947 |
| src\test\java\com\accountbook\db                                                                                                            |          2 |        229 |         86 |         46 |        361 |
| src\test\java\com\accountbook\helper                                                                                                        |          4 |        430 |         71 |         85 |        586 |
| target                                                                                                                                      |        122 |      4,287 |         62 |         62 |      4,411 |
| target\classes                                                                                                                              |        116 |      3,840 |         62 |         62 |      3,964 |
| target\classes (Files)                                                                                                                      |          1 |          4 |          4 |          0 |          8 |
| target\classes\com                                                                                                                          |        115 |      3,836 |         58 |         62 |      3,956 |
| target\classes\com\accountbook                                                                                                              |        115 |      3,836 |         58 |         62 |      3,956 |
| target\classes\com\accountbook (Files)                                                                                                      |          1 |         26 |          0 |          0 |         26 |
| target\classes\com\accountbook\backend                                                                                                      |         45 |      1,601 |          0 |         46 |      1,647 |
| target\classes\com\accountbook\backend\common                                                                                               |          7 |        276 |          0 |          2 |        278 |
| target\classes\com\accountbook\backend\common\exception                                                                                     |          1 |          6 |          0 |          0 |          6 |
| target\classes\com\accountbook\backend\common\util                                                                                          |          6 |        270 |          0 |          2 |        272 |
| target\classes\com\accountbook\backend\factory                                                                                              |          2 |         45 |          0 |          0 |         45 |
| target\classes\com\accountbook\backend\service                                                                                              |         19 |        474 |          0 |         18 |        492 |
| target\classes\com\accountbook\backend\service (Files)                                                                                      |          1 |          6 |          0 |          0 |          6 |
| target\classes\com\accountbook\backend\service\impl                                                                                         |         18 |        468 |          0 |         18 |        486 |
| target\classes\com\accountbook\backend\service\impl\bill                                                                                    |          6 |        148 |          0 |          6 |        154 |
| target\classes\com\accountbook\backend\service\impl\budget                                                                                  |          4 |        106 |          0 |          4 |        110 |
| target\classes\com\accountbook\backend\service\impl\category                                                                                |          4 |        111 |          0 |          4 |        115 |
| target\classes\com\accountbook\backend\service\impl\specific_type                                                                           |          4 |        103 |          0 |          4 |        107 |
| target\classes\com\accountbook\backend\storage                                                                                              |         17 |        806 |          0 |         26 |        832 |
| target\classes\com\accountbook\backend\storage\dao                                                                                          |         10 |        479 |          0 |         13 |        492 |
| target\classes\com\accountbook\backend\storage\dao (Files)                                                                                  |          5 |        230 |          0 |         13 |        243 |
